source_relative_path,source_sheet,rows,columns,review_decision,reviewer_note
29-Years-of-Data-SCUC/data/20250227 SCUC Snapshots 1995 to 2023-LONG-ONLY-WITH-SORT.csv,data,4408,8,review for archive or deletion after confirming it predates the pre-canonical file,
29-Years-of-Data-SCUC/data/TEST SCUC 2004 TEA TAKS Data Grades 3-11.csv,data,385,7,review for archive or deletion after confirming it predates the pre-canonical file,
Data Analysis - SCUC Flexdashboard/data/20250227 SCUC Snapshots 1995 to 2023-LONG-ONLY-WITH-SORT.csv,data,4408,8,review for archive or deletion after confirming it predates the pre-canonical file,
Master Data Bank/WIDE data/CANONIZE_THIS_SCUC_Snapshots_1995_to_2023_WIDE_ONLY-NO-SORT-COL-20250717-FINAL.csv,data,29,89,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Analysis/TEST-Plotting Data From TEA Reports/data/OLD-SCUC Snapshots 1995 to 2022-LONG.csv,data,4166,6,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Analysis/TEST-Plotting Data From TEA Reports/data/SCUC Snapshots 1995 to 2022-LONG.csv,data,4283,7,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Analysis/TEST-Plotting Data From TEA Reports/data/TEST SCUC 2004 TEA TAKS Data Grades 3-11.csv,data,385,7,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Analysis/TEST-Plotting Data From TEA Reports/data/TEST SCUC Snapshots 1995 to 2022-LONG.csv,data,3996,6,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Analysis/TEST-Plotting Data From TEA Reports/data/TEST SCUC Snapshots 1995 to 2022-LONG.xlsx,TEST SCUC Snapshots 1995 to 202,3996,6,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Analysis/Various Scripts for Book Examples/scuc-tea-5yr-snapshot-df.xlsx,Op Exp per Pupil 2017-21   XmR ,25,18,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Analysis/data/BACKUP-SCUC Snapshots 1994 - 2022.xlsx,raw snapshot data 1995-2022,174,29,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Analysis/data/SCUC Snapshots 1994 - 2022.xlsx,raw snapshot data 1995-2022,174,29,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Analysis/data/SCUC Snapshots 1995 to 2022-LONG.csv,data,4255,8,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Analysis/data/SCUC TEA Snapshots 2017-2021.xlsx,2020-2021,72,17,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Analysis/data/scuc-tea-5yr-2017-2021 snapshots.xlsx,Op Exp per Pupil 2017-21   XmR ,25,18,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Transformations/WILL_BE_CANONIZED_SCUC_Snapshots_1995_to_2023_WIDE_ONLY-NO-SORT-COL-20250717-FINAL.csv,data,29,89,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Wrangling/SCUC 1995-2022 TEA Snapshots MASTER WORKING COPIES/20240526 SCUC Snapshots 1995 to 2022-LONG.csv,data,4255,8,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Wrangling/SCUC 1995-2022 TEA Snapshots MASTER WORKING COPIES/20240526 SCUC Snapshots 1995 to 2022-WIDE-NO CHARTS.xlsx,raw snapshotS 95-22 - WIDE,161,33,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Wrangling/SCUC 1995-2022 TEA Snapshots MASTER WORKING COPIES/20250329 SCUC Snapshots 1995 to 2022-WIDE-AND-LONG-WITH-SORT-COLUMN.xlsx,Snapshots 95-22 LONG with SORT ,4255,8,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Wrangling/SCUC 1995-2022 TEA Snapshots MASTER WORKING COPIES/20250329 SCUC Snapshots 1995 to 2022-WIDE-LONG-WITH-SORT-COLUMN.xlsx,Snapshots 95-22 LONG with SORT ,4255,8,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Wrangling/SCUC 1995-2022 TEA Snapshots MASTER WORKING COPIES/20250329 SCUC Snapshots 1995 to 2022-WIDE-ONLY-NO CHARTS-NO-SORT-COL.xlsx,raw snapshotS 95-22 - WIDE,161,33,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC Data Wrangling/SCUC 1995-2022 TEA Snapshots MASTER WORKING COPIES/20250329 SCUC Snapshots 1995 to 2022-WIDE-ONLY-WITH CHARTS-NO-SORT-COL.xlsx,raw snapshotS 95-22 - WIDE,161,33,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC-Book---28-Years-of-Data/data/SCUC Snapshots 1995 to 2022-LONG (SUPERSEDED).csv,data,4255,8,review for archive or deletion after confirming it predates the pre-canonical file,
SCUC-Book---28-Years-of-Data/data/TEST SCUC 2004 TEA TAKS Data Grades 3-11.csv,data,385,7,review for archive or deletion after confirming it predates the pre-canonical file,
